learning_rate,batch_size,activation_function,mean_accuracy_validation,std_dev,median
0.001,16,Sigmoid(),0.007905674085397227,0.005990422497975251,0.0064858479505051116
0.01,16,Sigmoid(),0.010480629076156867,0.015798223847409774,0.003714505979703365
0.1,24,ReLU(),0.002009753573739045,0.0016196408911981729,0.002084813709447465
0.01,16,ReLU(),0.003968128283905799,0.010549226170648187,0.002089725498572139
0.1,8,Sigmoid(),0.0017552406151914966,0.0018248018617239444,0.001751410843381243
0.001,16,ReLU(),0.03829461756181771,0.005691352911826676,0.03803392194628585
0.001,8,ReLU(),0.035452229680920794,0.018041157442015815,0.03548524356176248
0.1,24,Sigmoid(),0.0022672908628026166,0.0016880068194626546,0.002171739396096323
0.01,24,Sigmoid(),0.024590417294549367,0.01546391054632321,0.027395049512844317
0.001,24,Sigmoid(),0.027939205190614595,0.02423408535751641,0.02053104404822139
0.001,24,ReLU(),0.0361152131785153,0.012362480650992132,0.034634767065456484
0.01,8,Sigmoid(),0.004360435561212566,0.0029577759604945647,0.004159091987149251
0.001,8,Sigmoid(),0.010560467633143736,0.006688324851520101,0.008048102570417551
0.1,8,Sigmoid(),0.0025199921542020066,0.0017351784586374446,0.0024154403468780016
0.01,16,ReLU(),0.016441821947317616,0.012299601900190806,0.01123052737322911
0.1,16,ReLU(),0.0026013176475215044,0.001672813817839494,0.002264322224354247
0.01,8,ReLU(),0.023375272698512316,0.013052866032248964,0.02488454741259176
0.1,24,Sigmoid(),0.002429054963732656,0.0014306070008296397,0.002343534769001698
0.1,24,ReLU(),0.002032710011520972,0.0012037517374178807,0.0020726284525397058
0.01,24,Sigmoid(),0.005222898414184703,0.002353815647101652,0.005811940432903402
0.001,24,ReLU(),0.03531540306417923,0.012721113632622376,0.03655527242583056
0.1,8,ReLU(),0.0020781809098110757,0.001499109673346202,0.002184954746887006
0.001,8,ReLU(),0.04155058729923387,0.013882399916992003,0.04297768166769218
0.1,24,ReLU(),0.0017473677248907664,0.0017202358053248793,0.0017873050090902853
0.01,8,Sigmoid(),0.007086954420405869,0.007516710582690995,0.005686176856969505
0.1,16,Sigmoid(),0.0019338942777966564,0.0013270608495132045,0.0019489083148776243
0.1,24,Sigmoid(),0.0023035032688982523,0.0016560736566233955,0.001969246388005111
0.01,24,Sigmoid(),0.023595205698526262,0.01628433175394808,0.02361149374399698
0.01,16,ReLU(),0.03180359045838944,0.011962445679058475,0.03437113421677758
0.1,8,Sigmoid(),0.0018410298486703307,0.001479892926635833,0.0020689896249614093
0.001,8,ReLU(),0.03670638363918803,0.014029427420914148,0.038710136706690365
0.01,24,ReLU(),0.03136762981226363,0.012958415920932416,0.03159664334109795
0.001,8,Sigmoid(),0.0031195023973215816,0.0009280021127634007,0.0029605986912347353
0.1,8,ReLU(),0.0022116948953706003,0.001643234839946692,0.002102769167049002
0.001,16,ReLU(),0.03677492026570861,0.010244009980037412,0.03648038543801669
0.001,24,Sigmoid(),0.01209643266596203,0.013466352028038342,0.007299563494785949
0.01,16,Sigmoid(),0.0077629434813783135,0.006195651322689178,0.00667458543662313
0.001,16,Sigmoid(),0.018543454661196595,0.01487138752978468,0.01576799461791858
0.01,8,Sigmoid(),0.005817468603408426,0.0037578575820377096,0.005850309336355567
0.01,8,ReLU(),0.03284424468793147,0.019803015600071767,0.031522028532562085
0.001,16,Sigmoid(),0.013734241322288135,0.013227489387119592,0.008941662952745524
0.001,8,Sigmoid(),0.006962548600331879,0.003250878103195132,0.0071763877156798845
0.001,24,Sigmoid(),0.017200164711174408,0.010789957310976435,0.01558946594841263
0.001,24,ReLU(),0.03384540256370436,0.015012474239505321,0.03747461446684619
0.1,16,ReLU(),0.002193252864967455,0.001323807873675007,0.0021053192775152647
0.01,24,ReLU(),0.030212968476648262,0.013609407447156746,0.03293448405260574
0.1,16,ReLU(),0.0018358994786485494,0.001237741935380636,0.001983780761450758
0.01,8,ReLU(),0.007103851519353305,0.00591188009069524,0.005901282234066273
0.01,16,Sigmoid(),0.0031720830370906153,0.005778400164940603,0.0021987563299687846
0.1,16,Sigmoid(),0.002164840070136162,0.0012812411610609493,0.00212556522842558
0.1,16,Sigmoid(),0.002497925533290491,0.0015083690953655638,0.002511322825460088
0.1,8,ReLU(),0.002180297759440283,0.0016296963545004454,0.0021535620076988714
0.001,16,ReLU(),0.04481110619922893,0.009525738583887272,0.04299745444539611
0.01,24,ReLU(),0.03293195550711304,0.015657663098739245,0.03333820129461529
